chan_id,n_train,n_test,n_features,train_min,train_max,train_mean,train_std,test_min,test_max,test_std,status,spacecraft
C-1,2158,2264,55,-1.0,2.1934477379095165,-0.6697851046571983,0.4318251383189757,-1.0,1.0,0.42213653199916173,usable,MSL
C-2,764,2051,55,-1.0,-1.0,-1.0,0.0,-1.0,0.9999999999999998,0.46921247279723516,flat_train,MSL
D-14,3675,2625,55,-1.0,-1.0,-1.0,0.0,-1.0,1.0,0.5091527337356988,flat_train,MSL
D-15,2074,2158,55,-1.0,1.1915779731605738,0.778428590999292,0.6553955120230839,-1.0,1.3757519666820917,0.6647846634307722,usable,MSL
D-16,1451,2191,55,-1.0,1.008879901529805,-0.5354425929644514,0.829073663968121,-1.0,1.0,0.5501315914795687,usable,MSL
F-4,2244,3422,55,-1.0,0.7545156942037357,-0.5981473414952873,0.38725070643973436,-1.0,1.4654727517812436,0.5721223385898551,usable,MSL
F-5,2598,3922,55,-1.1163775338154294,4.162651279553374,-0.3674714574349985,0.9000656268949284,-1.076885608303046,6.954363220802578,1.125468523270839,usable,MSL
F-7,2511,5054,55,-0.9999999999999998,1.0,-0.6086789554531489,0.6105378621304084,-0.9999999999999998,1.0,0.6585084938876544,usable,MSL
F-8,3342,2487,55,-1.0,1.1304347826086958,-0.7913121536179846,0.4932697671601877,-1.0,1.3043478260869565,0.3807845056786632,usable,MSL
M-1,2209,2277,55,-0.9160935512741932,2.4922982712327473,0.41603124700593647,0.6924396522909034,-1.0764755758631972,2.268853926232979,0.8062689837312772,usable,MSL
M-2,2208,2277,55,-1.210726170949998,0.8863251604600975,-0.8468589466809938,0.3396859500694241,-1.0846891794252387,1.3352759069885178,0.8645849839581069,usable,MSL
M-3,2037,2127,55,-1.47721668720188,1.000070758018348,0.5801467632094458,0.727059201809877,-1.4241973964125723,1.000070758018348,0.7164864146718382,usable,MSL
M-4,2076,2038,55,-1.4654640190905774,1.00000547321409,0.6364353950034422,0.6520076537707444,-1.3314414256628067,1.1758926812181187,0.6573115909755926,usable,MSL
M-5,2032,2303,55,-1.2550059949886205,0.9815878463272607,-0.4868114401958829,0.7006601370130817,-1.3089860212660558,1.0951874959614576,0.6513188741849197,usable,MSL
M-6,1565,2049,55,-1.0,-1.0,-1.0,0.0,-1.0,258.1081081081054,37.58560240421315,flat_train,MSL
M-7,1587,2156,55,-1.0020241085789672,0.4032494171651668,-0.9856139384354822,0.11717017047063638,-0.9999999999999999,1.0,0.30595304605396867,usable,MSL
P-10,4308,6100,55,0.985881688550049,1.001129464915996,0.9933667532248935,0.0012414265009786348,-1.0,1.0,0.7157323930839294,flat_train,MSL
P-11,3969,3535,55,0.3225919216957446,0.9977754472939899,0.8475414416922297,0.11173827097671962,-1.0,0.9999999999999997,0.14545602928278978,usable,MSL
P-14,2880,6100,55,0.9990000000000001,1.0,0.9994896797839506,8.192435037266218e-05,-1.0,1.0,0.7157323930839294,flat_train,MSL
P-15,3682,2856,55,0.7308394954327966,1.0052196607220525,0.9449544579167801,0.036063863808221096,-1.0000000000000002,0.9999999999999996,0.9308305566509449,usable,MSL
S-2,926,1827,55,-1.0,-1.0,-1.0,0.0,-1.0,1.0,0.08097752384852513,flat_train,MSL
T-12,1145,2430,55,-1.0,1.0,-0.14507141772016643,0.47720701065782173,-1.0,1.0,0.4345834517819549,usable,MSL
T-13,1145,2430,55,-1.0,1.0,0.05297958578305448,0.5286049660951541,-1.0,1.0,0.6446416358367707,usable,MSL
T-4,2272,2217,55,-1.0,0.0,-0.5215669014084507,0.49953465221507715,-1.0,1.0,0.49789586496039046,usable,MSL
T-5,2272,2218,55,-1.0,-1.0,-1.0,0.0,-1.0,1.0,0.09008746399374727,flat_train,MSL
T-8,748,1519,55,-1.0,1.0294117647058822,-0.9818994442696866,0.18695321501432743,-1.0,1.0196078431372548,0.24614173554498822,too_short,MSL
T-9,439,1096,55,-1.0,1.0,0.2725937085682113,0.20212829659418824,-1.0,1.0,0.25501183338325306,too_short,MSL
A-1,2880,8640,25,0.999,0.999,0.9990000000000001,1.1102230246251565e-16,-1.0,1.0,0.021515328937450482,flat_train,SMAP
A-2,2648,7914,25,-1.0,1.0,0.015880759228717303,0.5628087473899643,-1.0,1.0,0.4950048884811296,usable,SMAP
A-3,2736,8205,25,-1.0,1.0,0.04103326951585082,0.47031752250198183,-1.0,1.0,0.4308782472320041,usable,SMAP
A-4,2690,8080,25,-1.0,1.0,0.0790675805471302,0.3534340433354049,-1.0,0.9999999999999996,0.3172405719214083,usable,SMAP
A-5,705,4693,25,-1.0,-0.9990000000000001,-0.9997098604438344,7.441728973505282e-05,-0.9999999999999999,0.9999999999999998,0.7367654944389765,flat_train,SMAP
A-6,682,4453,25,-1.0,1.0,-0.8219768845954724,0.22652188445055585,-1.0,0.9999999999999998,0.1620484970232887,too_short,SMAP
A-7,2879,8631,25,-1.0,1.0,-0.3143711830160995,0.3884348442295867,-1.0,1.0,0.39827585922274783,usable,SMAP
A-8,762,8375,25,-1.0,0.9999999999999996,-0.24666460299358714,0.9690446150925986,-1.0,1.0000000000000002,0.3766001135714869,too_short,SMAP
A-9,762,8434,25,-1.0,0.9999999999999999,0.24096180458273875,0.9646194035275464,-1.0,0.9999999999999999,0.4234299643167075,too_short,SMAP
B-1,2435,8044,25,-1.0,-1.0,-1.0,0.0,-1.0,1.0,0.9649843911833608,flat_train,SMAP
D-1,2849,8509,25,-1.0,-0.579,-0.775221612846613,0.06352376399760404,-0.9999999999999999,1.0,0.57120754040406,usable,SMAP
D-11,2611,7431,25,-1.0,0.9999999999999982,-0.2413294182731186,0.552939873369299,-1.0,1.0,0.8651892811848966,usable,SMAP
D-12,312,7918,25,-1.0,-1.0,-1.0,0.0,-0.9999999999999999,1.0,0.5557885525944974,flat_train,SMAP
D-13,1490,7663,25,-1.0,-1.0,-1.0,0.0,-1.0,1.0,0.9339996303594397,flat_train,SMAP
D-2,2880,8595,25,-1.0,-1.0,-1.0,0.0,-1.0,1.0,0.9934115427812613,flat_train,SMAP
D-3,2880,8640,25,-1.0,-0.97,-0.9847976115965988,0.008720074257324286,-0.9999999999999998,1.0000000000000004,0.6258740501615804,flat_train,SMAP
D-4,2833,8473,25,-1.0,-0.97,-0.9873697745953303,0.009390792336272361,-0.9999999999999998,1.0000000000000004,0.6192293117534741,flat_train,SMAP
D-5,2561,7628,25,0.999,1.0,0.9993957660921614,0.0002272645209620448,-1.0,1.0,0.045764072257529376,flat_train,SMAP
D-6,2594,7884,25,-0.9999999999999999,1.0,-0.09644592247169076,0.44630233519822404,-1.0,1.0,0.038991755506988704,usable,SMAP
D-7,2583,7642,25,-1.0,-1.0,-1.0,0.0,-1.0,1.0,0.615260256925099,flat_train,SMAP
D-8,2602,7874,25,-1.0,-1.0,-1.0,0.0,-1.0,1.0,0.022537446611006474,flat_train,SMAP
D-9,2583,7406,25,-1.0,-1.0,-1.0,0.0,-1.0,1.0,0.6578223750251497,flat_train,SMAP
E-1,2880,8516,25,-1.0,0.9999999999999998,-0.5868055555555556,0.8097278801974992,-1.0,0.9999999999999998,0.8044566183732895,usable,SMAP
